version,date,ui_generation,file_manager,keylogger,password_recovery,registry_manager,remote_screen,webcam,voice_audio,process_manager,network_manager,shell_access,clipboard_manager,application_window_manager,irc_icq_integration,plugin_architecture,notable_difference,evidence_level
1.0,1999-02,Early red 1.x,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not yet confirmed,"First public family release; exact complete feature matrix remains a research gap rather than being projected backward from later builds.",release confirmed; detailed matrix incomplete
1.1,1999-03,Early red 1.x,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Early feature expansion; surviving catalogs confirm file/keylogging/password/screen/system/process/prank and audio-related categories.",retrospective release catalog
1.2,1999-03,Early red 1.x,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Continued rapid March development; broad remote-control set similar to 1.1 in surviving catalogs.",retrospective release catalog
1.3,1999-03,Early red 1.x,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Closely spaced March revision; exact incremental delta is not fully preserved.",release catalog plus incomplete feature evidence
1.4,1999-03,Early red 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Registry-management capability is confirmed in surviving 1.4 catalogs.",retrospective release catalog
1.5,1999-04,Blue/purple Fatsie-era 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Major visual identity change: retrospective developer history places the transition from the early red design to the iconic blue/purple Fatsie look at 1.5.",release catalog plus developer retrospective
1.6,1999-04,Blue/purple Fatsie-era 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Incremental 1.x development; exact unique change list still needs a primary changelog.",release catalog; delta incomplete
1.7,1999-05,Blue/purple Fatsie-era 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"May revision; exact unique delta remains incompletely documented.",release catalog; delta incomplete
1.8,1999-05,Blue/purple Fatsie-era 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Webcam capture is confirmed by this release in surviving feature catalogs.",retrospective release catalog
1.9,1999-06,Late Fatsie-era 1.x,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Mature pre-Apocalypse 1.x branch; local preservation also contains a 1.9 package record.",release catalog plus local historical file record
